symbol,bids,asks,timestamp,Mid_Price,Quoted_Spread,First_Layer_Liquidity
ETHBTC,"[['0.06254000', '41.68200000'], ['0.06253000', '45.78170000'], ['0.06251000', '41.53640000'], ['0.06250000', '99.19710000'], ['0.06157000', '24.33400000']]","[['0.06260000', '31.42430000'], ['0.06262000', '27.06830000']]",1693386263293,0.06257,6.0000000000004494e-05,73.1063
ETHBTC,"[['0.06241000', '65.90980000']]","[['0.06269000', '37.02940000']]",1693386264293,0.06255,0.00027999999999999553,102.9392
ETHBTC,"[['0.06254000', '67.59720000'], ['0.06253000', '19.77570000']]",[],1693386265293,,,
ETHBTC,"[['0.06256000', '37.12650000'], ['0.06235000', '4.05520000'], ['0.06157000', '24.33570000']]","[['0.06297000', '5.29800000']]",1693386267294,0.062765,0.0004099999999999937,42.4245
ETHBTC,"[['0.06157000', '24.33570000']]",[],1693386268294,,,
ETHBTC,"[['0.06256000', '37.58850000'], ['0.06250000', '99.67500000'], ['0.06157000', '24.33400000']]","[['0.06260000', '31.85950000']]",1693386269294,0.06258,3.999999999999837e-05,69.44800000000001
ETHBTC,"[['0.06157000', '24.33570000'], ['0.06112000', '2.69870000']]",[],1693386271294,,,
ETHBTC,"[['0.06157000', '24.33400000']]",[],1693386272294,,,
ETHBTC,"[['0.06157000', '24.33570000']]",[],1693386273294,,,
ETHBTC,"[['0.06241000', '12.81180000'], ['0.06157000', '24.33400000'], ['0.06112000', '2.73800000']]","[['0.06269000', '0.12740000']]",1693386274294,0.06255,0.00027999999999999553,12.9392
ETHBTC,"[['0.06254000', '41.68200000'], ['0.06253000', '46.20790000']]",[],1693386275294,,,
ETHBTC,"[['0.06254000', '68.11420000'], ['0.06253000', '19.77570000'], ['0.06248000', '27.19920000']]",[],1693386276294,,,
ETHBTC,"[['0.06249000', '12.64590000'], ['0.06241000', '65.90980000']]","[['0.06269000', '37.02940000'], ['0.06314000', '3.38070000']]",1693386277294,0.06258999999999999,0.0001999999999999988,49.6753
ETHBTC,"[['0.06254000', '41.68200000'], ['0.06253000', '46.45860000'], ['0.06235000', '4.05520000'], ['0.05631000', '0.87330000']]","[['0.06297000', '5.29800000']]",1693386278294,0.062755,0.0004299999999999998,46.980000000000004
ETHBTC,"[['0.06257000', '21.90190000'], ['0.06255000', '49.26000000'], ['0.06254000', '68.36490000'], ['0.06253000', '19.77570000']]","[['0.06258000', '82.54750000']]",1693386279294,0.06257499999999999,9.999999999996123e-06,104.4494
ETHBTC,"[['0.06257000', '21.43660000']]",[],1693386280294,,,
ETHBTC,"[['0.06238000', '5.53800000']]",[],1693386282294,,,
ETHBTC,"[['0.06237000', '7.98640000']]","[['0.06313000', '3.24920000']]",1693386283294,0.06275,0.0007600000000000037,11.2356
ETHBTC,"[['0.06157000', '24.33740000']]","[['0.06258000', '82.03590000']]",1693386284294,0.062075,0.001009999999999997,106.3733
ETHBTC,"[['0.06254000', '41.68200000'], ['0.06253000', '46.48790000'], ['0.06157000', '24.33400000']]",[],1693386285295,,,
ETHBTC,"[['0.06254000', '68.39420000'], ['0.06253000', '19.77570000'], ['0.06241000', '12.81180000'], ['0.06157000', '24.33740000']]","[['0.06269000', '0.12740000']]",1693386286295,0.062615,0.00014999999999999736,68.52159999999999
ETHBTC,"[['0.06256000', '37.12650000'], ['0.06157000', '24.33400000']]",[],1693386287295,,,
ETHBTC,"[['0.06237000', '4.98640000'], ['0.06235000', '4.05520000']]","[['0.06297000', '5.29800000'], ['0.06313000', '2.24920000']]",1693386288295,0.06267,0.0005999999999999964,10.2844
ETHBTC,"[['0.06255000', '49.73230000'], ['0.06241000', '65.90980000'], ['0.06238000', '8.53800000']]","[['0.06269000', '37.02940000'], ['0.06313000', '3.24920000']]",1693386289295,0.06262,0.00014000000000000123,86.7617
ETHBTC,"[['0.06254000', '68.97620000'], ['0.06253000', '19.19370000'], ['0.06250000', '99.31600000'], ['0.06157000', '24.33400000']]","[['0.06258000', '81.91990000'], ['0.06260000', '31.85950000']]",1693386290295,0.06256,3.999999999999837e-05,150.8961
